parent	node	event	mutliplicity	cluster	ref_chr_Mcinx
n15	n20	fusion	1	M24,MZ	HG992209.1,HG992232.1
n29	Hedya_salicella	fusion	1	M1,M17,M20,MZ	HG992209.1,HG992211.1,HG992212.1
n29	Hedya_salicella	fusion	1	M2,M29	HG992239.1,HG992210.1
n29	Hedya_salicella	fusion	1	M18,M26,M30	HG992231.1,HG992220.1,HG992236.1
n32	Zygaena_filipendulae	fusion	1	M30,M31	HG992234.1,HG992236.1
n59	Agonopterix_subpropinquella	fusion	1	M13,M4,MZ	HG992209.1,HG992223.1,HG992230.1
n59	Agonopterix_subpropinquella	fusion	1	M19,M21	HG992233.1,HG992225.1
n220	Erebia_aethiops	fusion	1	M13,M6	HG992230.1,HG992218.1
n220	Erebia_aethiops	fusion	1	M11,M28	HG992235.1,HG992227.1
n220	Erebia_aethiops	fusion	1	M18,MZ	HG992220.1,HG992209.1
n220	Erebia_aethiops	fusion	1	M10,M24	HG992226.1,HG992232.1
n220	Erebia_aethiops	fusion	1	M17,M20,M30	HG992236.1,HG992211.1
n220	Erebia_aethiops	fusion	1	M16,M25	HG992238.1,HG992221.1
n220	Erebia_aethiops	fusion	1	M23,M9	HG992228.1,HG992215.1
n220	Erebia_aethiops	fusion	1	M12,M21	HG992225.1,HG992216.1
n220	Erebia_aethiops	fusion	1	M22,M7	HG992222.1,HG992219.1
n220	Erebia_aethiops	fusion	1	M27,M31	HG992237.1,HG992234.1
n188	Melanargia_galathea	fusion	1	M24,M25	HG992238.1,HG992232.1
n188	Melanargia_galathea	fusion	1	M14,M29,M31	HG992239.1,HG992234.1,HG992229.1
n188	Melanargia_galathea	fusion	1	M10,M12	HG992226.1,HG992216.1
n188	Melanargia_galathea	fusion	1	M27,M7	HG992237.1,HG992219.1
n188	Melanargia_galathea	fusion	1	M13,M28	HG992235.1,HG992230.1
n164	Pararge_aegeria	fusion	1	M23,M25	HG992238.1,HG992228.1
n262	Heliconius_sara	fusion	1	M1,M27	HG992237.1,HG992212.1
n262	Heliconius_sara	fusion	1	M24,M5	HG992217.1,HG992232.1
n262	Heliconius_sara	fusion	1	M2,M26	HG992231.1,HG992210.1
n262	Heliconius_sara	fusion	1	M29,M3	HG992239.1,HG992214.1
n262	Heliconius_sara	fusion	1	M16,M28	HG992235.1,HG992221.1
n262	Heliconius_sara	fusion	1	M30,M8	HG992236.1,HG992213.1
n262	Heliconius_sara	fusion	1	M23,M9	HG992228.1,HG992215.1
n262	Heliconius_sara	fusion	1	M12,M31	HG992234.1,HG992216.1
n262	Heliconius_sara	fusion	1	M25,M4	HG992238.1,HG992223.1
n262	Heliconius_sara	fusion	1	M19,M6	HG992233.1,HG992218.1
n94	Anthocharis_cardamines	fusion	1	M29,M6	HG992239.1,HG992218.1
n113	Parapoynx_stratiotata	fusion	1	M29,M31	HG992239.1,HG992234.1
n99	Acrobasis_suavella	fusion	1	M13,MZ	HG992230.1,HG992209.1
n175	Selenia_dentaria	fusion	1	M27,M6	HG992237.1,HG992218.1
n201	Crocallis_elinguaria	fusion	1	M1,M7	HG992219.1,HG992212.1
n201	Crocallis_elinguaria	fusion	1	M16,M24	HG992221.1,HG992232.1
n201	Crocallis_elinguaria	fusion	1	M18,M3	HG992220.1,HG992214.1
n201	Crocallis_elinguaria	fusion	1	M5,M6	HG992218.1,HG992217.1
n201	Crocallis_elinguaria	fusion	1	M12,M15	HG992224.1,HG992216.1
n201	Crocallis_elinguaria	fusion	1	M19,M4	HG992233.1,HG992223.1
n201	Crocallis_elinguaria	fusion	1	M11,M16,M24	HG992221.1,HG992232.1,HG992227.1
n201	Crocallis_elinguaria	fusion	1	M23,M30	HG992228.1,HG992236.1
n201	Crocallis_elinguaria	fusion	1	M13,M21	HG992230.1,HG992225.1
n201	Crocallis_elinguaria	fusion	1	M10,M31	HG992234.1,HG992226.1
n201	Crocallis_elinguaria	fusion	1	M22,M27	HG992237.1,HG992222.1
n201	Crocallis_elinguaria	fusion	1	M14,M28	HG992235.1,HG992229.1
n201	Crocallis_elinguaria	fusion	1	M13,M21,M26	HG992225.1,HG992230.1,HG992231.1
n201	Crocallis_elinguaria	fusion	1	M12,M15,M25	HG992224.1,HG992216.1,HG992238.1
n201	Crocallis_elinguaria	fusion	1	M14,M28,M29	HG992229.1,HG992235.1,HG992239.1
n275	Eupithecia_centaureata	fusion	1	M1,M6	HG992218.1,HG992212.1
n275	Eupithecia_centaureata	fission	2	M1,M6	HG992218.1,HG992212.1
n207	Laothoe_populi	fusion	1	M29,M4	HG992239.1,HG992223.1
n180	Manduca_sexta	fusion	1	M17,M20,M29	HG992239.1,HG992211.1
n287	n305	fusion	1	M26,MZ	HG992231.1,HG992209.1
n375	Agrochola_circellaris	fusion	1	M30,M5	HG992236.1,HG992217.1
n160	Phalera_bucephala	fusion	1	M22,MZ	HG992222.1,HG992209.1
n140	Furcula_furcula	fusion	1	M30,MZ	HG992236.1,HG992209.1
n140	Furcula_furcula	fusion	1	M10,M30,MZ	HG992236.1,HG992209.1,HG992226.1
n123	Clostera_curtula	fusion	1	M25,MZ	HG992238.1,HG992209.1
n123	Clostera_curtula	fusion	1	M30,M31	HG992234.1,HG992236.1
n17	n22	fusion	1	M13,M5	HG992230.1,HG992217.1
n17	n22	fusion	1	M18,M26	HG992231.1,HG992220.1
n223	Boloria_selene	fusion	1	M26,MZ	HG992231.1,HG992209.1
n223	Fabriciana_adippe	fusion	1	M25,MZ	HG992238.1,HG992209.1
n223	Fabriciana_adippe	fusion	1	M12,M30	HG992236.1,HG992216.1
n165	Limenitis_camilla	fusion	1	M19,M28	HG992235.1,HG992233.1
n166	Hestina_assimilis	fusion	1	M14,MZ	HG992229.1,HG992209.1
n125	n143	fusion	1	M14,M29	HG992239.1,HG992229.1
n125	n143	fusion	1	M19,M26	HG992231.1,HG992233.1
n105	Danaus_plexippus_plexippus	fusion	1	M14,MZ	HG992229.1,HG992209.1
n195	n227	fusion	1	M4,MZ	HG992223.1,HG992209.1
n167	Polyommatus_icarus	fusion	1	M24,MZ	HG992209.1,HG992232.1
n145	Plebejus_argus	fusion	1	M13,M28,M31	HG992234.1,HG992235.1,HG992230.1
n146	Celastrina_argiolus	fission	1	M8	HG992213.1
n146	Glaucopsyche_alexis	fusion	1	M13,MZ	HG992209.1,HG992230.1
n93	n106	fusion	1	M1,M19	HG992233.1,HG992212.1
n93	n106	fusion	1	M25,M5	HG992238.1,HG992217.1
n93	n106	fusion	1	M12,M29	HG992239.1,HG992216.1
n93	n106	fusion	1	M18,M30	HG992236.1,HG992220.1
n93	n106	fusion	1	M11,M23	HG992228.1,HG992227.1
n93	n106	fusion	1	M14,M26	HG992231.1,HG992229.1
n93	n106	fusion	1	M28,M31	HG992235.1,HG992234.1
n129	Hesperia_comma	fusion	1	M24,MZ	HG992209.1,HG992232.1
n110	Thymelicus_sylvestris	fusion	1	M26,MZ	HG992231.1,HG992209.1
n95	n110	fusion	1	M14,M30	HG992229.1,HG992236.1
n95	n110	fusion	1	M27,M29	HG992239.1,HG992237.1
n47	n64	fusion	1	M25,M29	HG992239.1,HG992238.1
n269	Agriopis_aurantiaria	fusion	1	M26,M28	HG992231.1,HG992235.1
n269	Agriopis_marginaria	fusion	1	M24,M28	HG992235.1,HG992232.1
n269	Agriopis_marginaria	fusion	1	M24,M27,M28	HG992232.1,HG992235.1,HG992237.1
n230	Erannis_defoliaria	fusion	1	M13,M24	HG992230.1,HG992232.1
n230	Erannis_defoliaria	fusion	1	M25,M29	HG992239.1,HG992238.1
n151	Macaria_notata	fusion	1	M30,M7	HG992236.1,HG992219.1
n151	Macaria_notata	fusion	1	M21,M31	HG992234.1,HG992225.1
n151	Macaria_notata	fusion	1	M26,M29	HG992239.1,HG992231.1
n151	Macaria_notata	fission	1	M17,M20	HG992211.1
n138	Dendrolimus_kikuchii	fusion	1	M31,MZ	HG992234.1,HG992209.1
n308	Spilosoma_lubricipeda	fusion	1	M25,MZ	HG992238.1,HG992209.1
n288	Phragmatobia_fuliginosa	fusion	1	M24,MZ	HG992209.1,HG992232.1
n288	Phragmatobia_fuliginosa	fusion	1	M19,M22	HG992233.1,HG992222.1
n288	Phragmatobia_fuliginosa	fusion	1	M19,M22,M24,MZ	HG992209.1,HG992222.1,HG992233.1,HG992232.1
n8	Limnephilus_marmoratus	fusion	1	M26,M7	HG992231.1,HG992219.1
n8	Limnephilus_marmoratus	fission	1	M26,M7	HG992231.1,HG992219.1
n4	Limnephilus_lunatus	fusion	1	M1,M24	HG992232.1,HG992212.1
n4	Limnephilus_lunatus	fusion	1	M10,M16	HG992226.1,HG992221.1
n4	Limnephilus_lunatus	fusion	1	M11,M21	HG992225.1,HG992227.1
n4	Limnephilus_lunatus	fusion	1	M15,M23,M9	HG992215.1,HG992228.1,HG992224.1
n4	Limnephilus_lunatus	fusion	1	M18,M22	HG992222.1,HG992220.1
n4	Limnephilus_lunatus	fusion	1	M26,M5	HG992231.1,HG992217.1
n4	Limnephilus_lunatus	fusion	1	M3,M4	HG992214.1,HG992223.1
n4	Limnephilus_lunatus	fusion	1	M6,M7	HG992219.1,HG992218.1
n4	Limnephilus_lunatus	fusion	1	M12,M8	HG992213.1,HG992216.1
n4	Limnephilus_lunatus	fusion	1	M14,M2	HG992229.1,HG992210.1
n4	Limnephilus_lunatus	fusion	1	M13,M25,M29	HG992238.1,HG992230.1,HG992239.1
n4	Limnephilus_lunatus	fusion	1	M13,M17,M20,M25,M29	HG992230.1,HG992238.1,HG992239.1,HG992211.1
n4	Limnephilus_lunatus	fusion	1	M10,M16,M17,M20	HG992221.1,HG992226.1,HG992211.1
n4	Limnephilus_lunatus	fusion	1	M26,M28,M5	HG992231.1,HG992217.1,HG992235.1
n4	Limnephilus_lunatus	fusion	1	M12,M27,M8	HG992213.1,HG992216.1,HG992237.1
n62	Emmelina_monodactyla	fusion	1	M26,M5	HG992231.1,HG992217.1
n62	Emmelina_monodactyla	fusion	1	M25,M29	HG992239.1,HG992238.1
n62	n78	fusion	1	M22,MZ	HG992222.1,HG992209.1
n33	n45	fusion	1	M13,MZ	HG992230.1,HG992209.1
n149	Agriphila_geniculea	fusion	1	M10,M4	HG992223.1,HG992226.1
n149	Agriphila_geniculea	fusion	1	M30,MZ	HG992236.1,HG992209.1
n149	Agriphila_tristella	fusion	1	M2,M24	HG992210.1,HG992232.1
n149	Agriphila_tristella	fusion	1	M18,M6	HG992220.1,HG992218.1
n149	Agriphila_tristella	fusion	1	M17,M19,M20	HG992233.1,HG992211.1
n149	Agriphila_tristella	fusion	1	M22,M8	HG992222.1,HG992213.1
n149	Agriphila_tristella	fusion	1	M29,M9	HG992239.1,HG992215.1
n149	Agriphila_tristella	fusion	1	M10,MZ	HG992209.1,HG992226.1
n149	Agriphila_tristella	fusion	1	M4,M7	HG992219.1,HG992223.1
n149	Agriphila_tristella	fusion	1	M13,M23	HG992228.1,HG992230.1
n114	Calamotropha_paludella	fusion	1	M23,MZ	HG992228.1,HG992209.1
n137	Bombyx_mori	fusion	1	M16,M29	HG992239.1,HG992221.1
n137	Bombyx_mori	fusion	1	M31,M4	HG992234.1,HG992223.1
n137	Bombyx_mori	fusion	1	M27,M30	HG992237.1,HG992236.1
n137	n156	fusion	1	M24,M25	HG992238.1,HG992232.1
n137	n156	fusion	1	M30,M9	HG992236.1,HG992215.1
n122	n138	fusion	1	M16,M29	HG992239.1,HG992221.1
n304	Ecliptopera_silaceata	fusion	1	M28,M30	HG992236.1,HG992235.1
n304	Ecliptopera_silaceata	fusion	1	M29,MZ	HG992239.1,HG992209.1
n304	Eulithis_prunata	fusion	1	M30,M31	HG992234.1,HG992236.1
n213	Euproctis_similis	fusion	1	M24,M6	HG992218.1,HG992232.1
n213	Euproctis_similis	fusion	1	M17,M20,M30	HG992236.1,HG992211.1
n213	Euproctis_similis	fusion	1	M16,M27	HG992237.1,HG992221.1
n213	Euproctis_similis	fusion	1	M14,M19	HG992233.1,HG992229.1
n213	Euproctis_similis	fusion	1	M31,MZ	HG992234.1,HG992209.1
n213	Euproctis_similis	fusion	1	M18,M25	HG992238.1,HG992220.1
n213	Euproctis_similis	fusion	1	M28,M29	HG992235.1,HG992239.1
n213	Euproctis_similis	fusion	1	M13,M23	HG992228.1,HG992230.1
n213	Euproctis_similis	fusion	1	M26,M28,M29	HG992239.1,HG992235.1,HG992231.1
n213	Orgyia_antiqua	fusion	1	M1,M2	HG992210.1,HG992212.1
n213	Orgyia_antiqua	fusion	1	M24,MZ	HG992209.1,HG992232.1
n213	Orgyia_antiqua	fusion	1	M12,M3	HG992216.1,HG992214.1
n213	Orgyia_antiqua	fusion	1	M17,M20,M29	HG992239.1,HG992211.1
n213	Orgyia_antiqua	fusion	1	M16,M9	HG992215.1,HG992221.1
n213	Orgyia_antiqua	fusion	1	M19,M8	HG992233.1,HG992213.1
n213	Orgyia_antiqua	fusion	1	M14,M21	HG992225.1,HG992229.1
n213	Orgyia_antiqua	fusion	1	M5,M7	HG992219.1,HG992217.1
n213	Orgyia_antiqua	fusion	1	M10,M4	HG992226.1,HG992223.1
n213	Orgyia_antiqua	fusion	1	M15,M18	HG992224.1,HG992220.1
n213	Orgyia_antiqua	fusion	1	M31,M6	HG992234.1,HG992218.1
n213	Orgyia_antiqua	fusion	1	M11,M22	HG992222.1,HG992227.1
n213	Orgyia_antiqua	fusion	1	M24,M30,MZ	HG992209.1,HG992232.1,HG992236.1
n213	Orgyia_antiqua	fusion	1	M13,M26	HG992231.1,HG992230.1
n213	Orgyia_antiqua	fusion	1	M23,M28	HG992235.1,HG992228.1
n213	Orgyia_antiqua	fusion	1	M25,M27	HG992238.1,HG992237.1
n213	Orgyia_antiqua	fusion	1	M17,M20,M25,M27,M29	HG992238.1,HG992239.1,HG992237.1,HG992211.1
n184	Lymantria_monacha	fusion	1	M24,MZ	HG992209.1,HG992232.1
n184	Lymantria_monacha	fusion	1	M29,M30	HG992236.1,HG992239.1
n184	Lymantria_monacha	fusion	1	M25,M27	HG992238.1,HG992237.1
n124	Meganola_albula	fusion	1	M31,MZ	HG992234.1,HG992209.1
n303	Chloroclysta_siterata	fusion	1	M23,M28,M31	HG992234.1,HG992228.1,HG992235.1
n303	Chloroclysta_siterata	fusion	1	M13,M24	HG992230.1,HG992232.1
n303	Chloroclysta_siterata	fusion	1	M15,M8	HG992224.1,HG992213.1
n303	Chloroclysta_siterata	fusion	1	M21,M25	HG992225.1,HG992238.1
n303	Chloroclysta_siterata	fusion	1	M12,M30	HG992236.1,HG992216.1
n303	Chloroclysta_siterata	fusion	1	M19,M6	HG992233.1,HG992218.1
n303	Chloroclysta_siterata	fusion	1	M10,M27	HG992237.1,HG992226.1
n303	Chloroclysta_siterata	fusion	1	M22,M26	HG992231.1,HG992222.1
n303	Chloroclysta_siterata	fusion	1	M10,M27,M29	HG992226.1,HG992237.1,HG992239.1
n303	Thera_britannica	fusion	1	M28,M31,M7	HG992234.1,HG992219.1,HG992235.1
n303	Thera_britannica	fusion	1	M3,M30	HG992236.1,HG992214.1
n303	Thera_britannica	fusion	1	M24,M8	HG992213.1,HG992232.1
n303	Thera_britannica	fusion	1	M16,M9	HG992215.1,HG992221.1
n303	Thera_britannica	fusion	1	M15,M5	HG992224.1,HG992217.1
n303	Thera_britannica	fusion	1	M10,M12	HG992226.1,HG992216.1
n303	Thera_britannica	fusion	1	M14,M6	HG992229.1,HG992218.1
n303	Thera_britannica	fusion	1	M13,M19	HG992233.1,HG992230.1
n303	Thera_britannica	fusion	1	M23,M27	HG992237.1,HG992228.1
n303	Thera_britannica	fusion	1	M26,M29	HG992239.1,HG992231.1
n277	n303	fusion	1	M28,M31	HG992234.1,HG992235.1
n277	n303	fusion	1	M11,M4	HG992227.1,HG992223.1
n236	Hydriomena_furcata	fusion	1	M29,M7	HG992239.1,HG992219.1
n236	Hydriomena_furcata	fusion	1	M31,M6	HG992234.1,HG992218.1
n236	Hydriomena_furcata	fusion	1	M13,M14	HG992229.1,HG992230.1
n136	Idaea_aversata	fusion	1	M31,MZ	HG992234.1,HG992209.1
n14	n17	fusion	1	M17,M20,MZ	HG992209.1,HG992211.1
n6	Tinea_trinotella	fusion	1	M29,MZ	HG992239.1,HG992209.1
n2	Micropterix_aruncella	fusion	1	M11,MZ	HG992227.1,HG992209.1
n2	n6	fusion	1	M17,M20	HG992211.1,HG992211.1